时间,负荷功率(p.u.),风电功率(p.u.)
0:00:00,0.416791,0.14617
0:15:00,0.426974,0.170831
0:30:00,0.445712,0.129716
0:45:00,0.432879,0.103549
1:00:00,0.427675,0.185014
1:15:00,0.4179,0.123713
1:30:00,0.416794,0.136695
1:45:00,0.410176,0.10775
2:00:00,0.404616,0.338268
2:15:00,0.41611,0.302991
2:30:00,0.402353,0.340212
2:45:00,0.400367,0.338503
3:00:00,0.393011,0.316267
3:15:00,0.399785,0.243001
3:30:00,0.395339,0.132785
3:45:00,0.396509,0.213962
4:00:00,0.40965,0.161839
4:15:00,0.431144,0.152735
4:30:00,0.457159,0.039631
4:45:00,0.476804,0.082963
5:00:00,0.502364,0.135508
5:15:00,0.523985,0.111733
5:30:00,0.551651,0.204898
5:45:00,0.57693,0.966754
6:00:00,0.591891,0.499709
6:15:00,0.620555,0.435032
6:30:00,0.637295,0.437451
6:45:00,0.655234,0.436984
7:00:00,0.639277,0.771222
7:15:00,0.66077,0.60519
7:30:00,0.667033,0.673328
7:45:00,0.692145,1
8:00:00,0.702721,0.91838
8:15:00,0.737339,0.666785
8:30:00,0.752975,0.553221
8:45:00,0.76862,0.480214
9:00:00,0.789594,0.359198
9:15:00,0.818138,0.451518
9:30:00,0.843804,0.691873
9:45:00,0.867278,0.537884
10:00:00,0.880647,0.438107
10:15:00,0.912694,0.346898
10:30:00,0.938104,0.403053
10:45:00,0.933347,0.335434
11:00:00,0.937949,0.252361
11:15:00,0.908527,0.295593
11:30:00,0.861817,0.219881
11:45:00,0.849297,0.203398
12:00:00,0.828199,0.199625
12:15:00,0.836274,0.259335
12:30:00,0.849379,0.280386
12:45:00,0.868696,0.323923
13:00:00,0.86762,0.260406
13:15:00,0.874884,0.377966
13:30:00,0.893691,0.421246
13:45:00,0.876716,0.377904
14:00:00,0.877938,0.371326
14:15:00,0.896618,0.278837
14:30:00,0.884461,0.255056
14:45:00,0.883815,0.169096
15:00:00,0.884595,0.198641
15:15:00,0.893632,0.260372
15:30:00,0.905557,0.291873
15:45:00,0.905843,0.263949
16:00:00,0.916581,0.324613
16:15:00,0.943644,0.3325
16:30:00,0.975558,0.210758
16:45:00,1,0.17055
17:00:00,0.941493,0.164215
17:15:00,0.91717,0.19585
17:30:00,0.921463,0.185837
17:45:00,0.902825,0.163818
18:00:00,0.873463,0.091952
18:15:00,0.864175,0.087563
18:30:00,0.846281,0.120907
18:45:00,0.836971,0.196773
19:00:00,0.835035,0.280415
19:15:00,0.850117,0.269108
19:30:00,0.857546,0.300115
19:45:00,0.881706,0.259743
20:00:00,0.895284,0.213385
20:15:00,0.886029,0.256037
20:30:00,0.891107,0.284186
20:45:00,0.835246,0.277147
21:00:00,0.816706,0.193576
21:15:00,0.802886,0.129174
21:30:00,0.758728,0.114193
21:45:00,0.721207,0.081183
22:00:00,0.690066,0.082807
22:15:00,0.671021,0.057448
22:30:00,0.6226,0.027733
22:45:00,0.598012,1.70E-05
23:00:00,0.574842,0.020574
23:15:00,0.540179,0.009199
23:30:00,0.52415,0.007064
23:45:00,0.503915,0.110092
